vine,scion,rootstock,row,block,slice,ring,width_cm
Chard_3309 Couderc_15_3,Chard,3309 Couderc,15,3,Slice 740,3,0.256539689
Cab_Kober 5BB_24_1,Cab,Kober 5BB,24,1,Slice 803,3,0.281809952
Chard_Kober 5BB_2_2,Chard,Kober 5BB,2,2,Slice 724,3,0.357214055
Chard_775 Paulsen_7_4,Chard,775 Paulsen,7,4,Slice 1380,3,0.226591308
Cab_3309 Couderc_18_1,Cab,3309 Couderc,18,1,Slice 1415,3,0.316970447
Cab_3309 Couderc_26_3,Cab,3309 Couderc,26,3,Slice 359,4,0.241617087
Cab_039-16_27_1,Cab,039-16,27,1,Slice 716,4,0.187570205
Cab_K51-32_21_4,Cab,K51-32,21,4,Slice 1303,4,0.320009049
Chard_140 Ruggeri_14_3,Chard,140 Ruggeri,14,3,Slice 265,4,0.287471422
Chard_SO4_13_4,Chard,SO4,13,4,Slice 409,4,0.285930481
Cab_775 Paulsen_16_1,Cab,775 Paulsen,16,1,Slice 956,4,0.424687104
Cab_1103 Paulsen_28_4,Cab,1103 Paulsen,28,4,Slice 319,4,0.287010293
Chard_3309 Couderc_11_4,Chard,3309 Couderc,11,4,Slice 278,4,0.24315807
Cab_420 A_25_1,Cab,420 A,25,1,Slice 1323,4,0.324498644
Chard_K51-32_5_3,Chard,K51-32,5,3,Slice 187,4,0.127704725
Cab_110 Richter_16_3,Cab,110 Richter,16,3,Slice 260,4,0.351728073
Cab_039-16_18_4,Cab,039-16,18,4,Slice 665,4,0.22306702
Cab_K51-32_29_1,Cab,K51-32,29,1,Slice 490,4,0.221749271
Cab_140 Ruggeri_22_3,Cab,140 Ruggeri,22,3,Slice 437,4,0.358128552
Cab_775 Paulsen_19_4,Cab,775 Paulsen,19,4,Slice 1346,4,0.328726789
Chard_Kober 5BB_13_4,Chard,Kober 5BB,13,4,Slice 307,4,0.251929111
Chard_039-16_15_1,Chard,039-16,15,1,Slice 1341,4,0.204961579
Cab_SO4_20_2,Cab,SO4,20,2,Slice 864,4,0.28671892
Chard_SO4_7_3,Chard,SO4,7,3,Slice 1336,4,0.36659152
Cab_101-14 MGT_23_3,Cab,101-14 MGT,23,3,Slice 440,4,0.197734061
Chard_3309 Couderc_11_4,Chard,3309 Couderc,11,4,Slice 1100,4,0.3003981
Chard_775 Paulsen_8_2,Chard,775 Paulsen,8,2,Slice 285,4,0.272644248
Cab_Ramsey_19_3,Cab,Ramsey,19,3,Slice 814,4,0.281110626
Chard_Kober 5BB_7_3,Chard,Kober 5BB,7,3,Slice X1,4,0.24491958
Chard_Ramsey_13_3,Chard,Ramsey,13,3,Slice 750,4,0.20552741
Chard_Kober 5BB_11_1,Chard,Kober 5BB,11,1,Slice 1205,4,0.279473695
