vine,scion,rootstock,block,year,soluble_solids_content,titratable_acidity_gL,pH,berry_weight_g,yield_kg,cluster_number,pruning_weight_kg,yield_div_pruning_weight,avg_cluster_weight_g,cluster_divide_berry_weight,bloom_petiole_B_mgL,bloom_petiole_Ca_mgL,bloom_petiole_Cl_mgL,bloom_petiole_Cu_mgL,bloom_petiole_Fe_mgL,bloom_petiole_K_mgL,bloom_petiole_Mg_mgL,bloom_petiole_Mn_mgL,bloom_petiole_Na_mgL,bloom_petiole_NO3_mgL,bloom_petiole_P_mgL,bloom_petiole_S_mgL,bloom_petiole_Zn_mgL,cordon_length_Mvine,shoots_per_linearm,shoots_per_vine,yeast_assimilable_N_mgL,early_1,late_1,early_2,late_2,early_3,late_3,early_4,late_4,early_5,late_5,early_6,late_6,early_7,late_7,early_8,late_8,outer_rings,cambium,total_width
Cab_3309 Couderc_1,Cab,3309 Couderc,1,1995,23.2,7.5,3.35,1.25,14.33333333,114.6666667,1.193333333,12.01117318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.967546512,0.063893473,0.383605131,0.087812847,0.181051997,0.139842456,0.244244694,0.100261375,0.199000508,0.088068453,0.227929026,0.078236201,0.150309481,0.084893537,0.082588779,0.084343031,1.188504029,0.055085004,4.407216535
Cab_3309 Couderc_2,Cab,3309 Couderc,2,1995,23,7.3,3.44,1.38,14.66666667,113.6666667,1.166666667,12.57142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.06846229,0.069043422,0.368499034,0.079824683,0.198436484,0.111854046,0.196242968,0.101025019,0.217000885,0.096517354,0.199894369,0.093310893,0.149362107,0.094257389,0.071206843,0.076152633,1.209139089,0.072555938,4.472785445
Cab_3309 Couderc_3,Cab,3309 Couderc,3,1995,22.6,7.3,3.49,1.36,15,107.6666667,1.4,10.71428571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.001681235,0.071308809,0.467410292,0.06993763,0.09967943,0.097206379,0.155567464,0.108657616,0.198985342,0.090459996,0.145643699,0.107210373,0.093437565,0.095338666,0.078244759,0.100221595,1.643950678,0.081913934,4.706855462
Cab_3309 Couderc_4,Cab,3309 Couderc,4,1995,22.8,7.2,3.47,1.19,13.66666667,95,1.2,11.38888889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.723939977,0.056567181,0.523021658,0.060406816,0.132540455,0.098905487,0.190180794,0.079408609,0.193449333,0.077305419,0.15051471,0.083437561,0.092505369,0.058249629,0.045240579,0.063490766,1.660454904,0.048265042,4.337884291
Cab_420 A_1,Cab,420 A,1,1995,23.6,7.4,3.31,1.21,13.06666667,99,0.806666667,16.19834711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.812931796,0.057120125,0.419764422,0.058223471,0.189441195,0.118031068,0.20757922,0.090202807,0.129786531,0.069446661,0.166711952,0.086267472,0.165287591,0.087261621,0.08151323,0.070557072,1.190744167,0.064709561,4.065579962
Cab_420 A_2,Cab,420 A,2,1995,23.4,7.7,3.44,1.32,9.833333333,92,0.633333333,15.52631579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.962638613,0.077361882,0.307677899,0.07392686,0.109674276,0.119741384,0.177739017,0.08269819,0.16773386,0.082904032,0.100425425,0.068558002,0.053011283,0.056292069,0.037477548,0.073220365,1.416667616,0.068738063,4.036486386
Cab_775 Paulsen_1,Cab,775 Paulsen,1,1995,22.8,7,3.38,0.9,12.73333333,124.3333333,0.883333333,14.41509434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.763874642,0.05700573,0.550598542,0.079571302,0.325745156,0.080301966,0.308722052,0.075838118,0.251519835,0.067014517,0.110335046,0.061516558,0.091665215,0.085762323,0.062065344,0.043616135,1.861871589,0.062916656,4.939940728
Cab_775 Paulsen_2,Cab,775 Paulsen,2,1995,22,7.4,3.36,1.11,12.6,138.5,0.916666667,13.74545455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.734635221,0.067862403,0.415436323,0.082659724,0.279135243,0.083007571,0.2753519,0.088971612,0.308155254,0.089930572,0.223783878,0.099461563,0.227141525,0.093644309,0.080002956,0.062806383,1.814103462,0.066210442,5.09230034
Cab_775 Paulsen_4,Cab,775 Paulsen,4,1995,22.6,7.3,3.44,1.04,11.73333333,108.3333333,0.95,12.35087719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78395886,0.060574942,0.5109369,0.061448118,0.245135029,0.086222578,0.252429247,0.072172102,0.264807027,0.075892605,0.10801009,0.058927094,0.111320582,0.09325774,0.060592373,0.057958778,1.607926065,0.070362051,4.581932183
Cab_Freedom_1,Cab,Freedom,1,1995,22.4,6.9,3.42,1.29,13.73333333,100.3333333,0.846666667,16.22047244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.75912134,0.056535426,0.274477341,0.074564221,0.145776424,0.097636806,0.144959495,0.089971833,0.170159843,0.091238125,0.243541785,0.102374681,0.091331041,0.086682673,0.05728017,0.098819702,1.677312924,0.07447675,4.33626058
